Country Name,Series Name,2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Cabo Verde,GDP (current US$),813963830.179217,924318490.7598,971977088.156914,1107891063.43863,1513934037.24782,1789333748.6799,1711817181.52969,1664310769.55229,1864824080.69256,1751888561.72747,1850951315.45564,1858121723.24993,1574288667.69981,1617467435.77007,0
Cambodia,GDP (current US$),4658246918.27092,5337833248.03924,6293046161.83262,7274595706.67154,8639235842.18075,10351914093.1723,10401851850.6108,11242275198.9783,12829541141.0127,14038383450.186,15449630418.5486,16777820332.7059,18049954289.4229,20016747754.0192,0
Cameroon,GDP (current US$),14548845764.5325,17430933517.2998,17944084201.4901,19356046327.8995,22365265025.66,26409781215.1844,26017925551.8426,26143818509.6421,29337006833.0825,29104437355.0395,32348149947.3727,34942948737.3967,30916218544.4404,32217497470.489,0
Canada,GDP (current US$),892380986367.854,1023196003074.56,1169357979864.66,1315415197461.21,1464977190205.75,1549131208997.19,1371153004986.44,1613464422811.13,1788647906047.76,1824288757447.57,1842628005830.18,1792883225804.38,1552807652015.37,1529760492201.35,0
Caribbean small states,GDP (current US$),37500825974.468,41178984265.2063,46656114031.8673,52416498942.5771,58371461971.2934,66596542818.2652,55887477076.4319,60945499584.2842,66197591876.8357,70647852492.6344,71284814647.9944,71392784816.8765,69516216246.9776,66707362091.378,0
Cayman Islands,GDP (current US$),0,0,0,3207032512.94205,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,GDP (current US$),1139754799.16304,1270080250.65268,1350301057.06866,1460562038.37097,1698125617.92304,1985239276.62611,1981728140.77833,1986014845.63184,2212699746.81377,2184183758.31567,1518565219.01061,1702898939.55483,1583776759.97697,1756124677.19671,0
Central Europe and the Baltics,GDP (current US$),634885340805.817,763009793236.826,886484956908.554,1002687667760.64,1262018642144.73,1524160100132.74,1281584484589.85,1313815361437.81,1446816247840,1351348603800.8,1422416711189.95,1463360359358.05,1285572776919.07,1312157690492.89,0
Chad,GDP (current US$),2736666515.8294,4414929219.99649,6646663561.2656,7422102655.98832,8638711442.7705,10351932604.4154,9253484108.49701,10657705536.4978,12156380425.0825,12368071038.7362,12949854262.8127,13922223233.5184,10888798113.7866,9600761473.78738,0
Channel Islands,GDP (current US$),7332244897.95918,8553643354.08275,8827272727.27273,9676172953.08188,11514605842.3369,0,0,0,0,0,0,0,0,0,0
Chile,GDP (current US$),75643459839.6008,99210392857.6116,122964812046.073,154788024805.808,173605968179.255,179638496278.574,172389498444.621,218537551220.071,252251992029.442,267122320056.702,278384332694.313,260990299051.116,242517905161.664,247027912574.35,0
